
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __L/D,ratio |   ___cl,total |   ___cd,total |   wing1,_lift |   wing1,_lift |   wing2,_lift |   wing2,_lift |   hstab,_lift |   hstab,_lift |   vstb1,_lift |   vstb2,_lift | 
     27.17727 |      21.30983 |      21.30983 |       0.00000 |      20.55484 |      15.55484 |     299.93591 |      -0.00001 |       0.00006 |       0.00006 |       0.00006 |      -0.00001 |       0.00007 |       0.00007 |       2.28674 |      -0.20237 |     118.15315 |     131.07024 |     131.00905 |      12.91708 |      92.28675 |       0.20221 |     180.00000 |      -0.17145 |      -0.00008 |      -0.32006 |      -3.18044 |       9.93712 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     28.17490 |      22.31136 |      22.31136 |       0.00000 |      20.55512 |      15.55512 |     299.93591 |      -0.00001 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |       0.00000 |       0.00000 |       2.28661 |      -0.20243 |     118.15315 |     131.07024 |     131.00905 |      12.91708 |     -87.71337 |      -0.20226 |     180.00000 |       0.00770 |      -0.00006 |      -0.34839 |   -3113.90552 |    8938.05176 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     29.17203 |      23.31743 |      23.31743 |       0.00000 |      20.55542 |      15.55542 |     299.93591 |      -0.00001 |       0.00001 |       0.00001 |       0.00001 |      -0.00001 |       0.00002 |       0.00002 |       2.28642 |      -0.20238 |     118.15315 |     131.07024 |     131.00905 |      12.91708 |      92.28643 |       0.20222 |     180.00000 |      -0.03950 |      -0.00005 |      -0.17810 |     104.96230 |    -589.35229 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     30.17853 |      24.32328 |      24.32328 |       0.00000 |      20.55571 |      15.55571 |     299.93591 |      -0.00001 |       0.00004 |       0.00004 |       0.00004 |      -0.00001 |       0.00004 |       0.00004 |       2.28668 |      -0.20245 |     118.15315 |     131.07024 |     131.00911 |      12.91708 |      92.28668 |       0.20229 |     180.00000 |      -0.10723 |      -0.00004 |      -0.40254 |      21.02436 |     -52.22910 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     31.17884 |      25.30509 |      25.30509 |       0.00000 |      20.55600 |      15.55600 |     299.93591 |      -0.00001 |       0.00008 |       0.00008 |       0.00008 |      -0.00001 |       0.00009 |       0.00009 |       2.28686 |      -0.20246 |     118.15315 |     131.07024 |     131.00911 |      12.91708 |     -87.71312 |      -0.20230 |     180.00000 |       0.22927 |      -0.00003 |      -0.25707 |     -10.03249 |      39.02573 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     32.17852 |      26.30756 |      26.30756 |       0.00000 |      20.55631 |      15.55631 |     299.93591 |      -0.00001 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |       0.00000 |       0.00000 |       2.28689 |      -0.20231 |     118.15314 |     131.07022 |     131.00911 |      12.91708 |     -87.71309 |      -0.20215 |     180.00000 |       0.00414 |      -0.00002 |      -0.10042 |   48045.91406 | -478432.09375 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     33.17855 |      27.30599 |      27.30599 |       0.00000 |      20.55664 |      15.55664 |     299.93591 |      -0.00001 |       0.00004 |       0.00004 |       0.00004 |      -0.00001 |       0.00004 |       0.00004 |       2.28650 |      -0.20238 |     118.15314 |     131.07022 |     131.00911 |      12.91708 |      92.28651 |       0.20222 |     180.00000 |      -0.10439 |      -0.00002 |      -0.33342 |      34.35790 |    -103.04817 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     34.17901 |      28.31354 |      28.31354 |       0.00000 |      20.55695 |      15.55695 |     299.93591 |      -0.00001 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |       0.00000 |       0.00000 |       2.28687 |      -0.20239 |     118.15315 |     131.07024 |     131.00911 |      12.91708 |      92.28687 |       0.20223 |     180.00000 |      -0.00091 |      -0.00001 |      -0.07087 | -466823.21875 | 6587463.00000 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 | 
     35.16874 |      29.29615 |      29.29615 |       0.00000 |      20.55723 |      15.55723 |     299.93591 |      -0.00001 |       0.00001 |       0.00000 |       0.00000 |      -0.00001 |       0.00001 |       0.00001 |       2.28638 |      -0.20242 |     118.15315 |     131.07024 |     131.00911 |      12.91708 |     -87.71360 |      -0.20226 |     180.00000 |       0.01461 |      -0.00001 |      -0.08696 |   -3421.09009 |   39338.94922 |      -0.00000 |       0.00000 |      -0.00000 |       0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 | 
     36.16862 |      30.29590 |      30.29590 |       0.00000 |      20.55750 |      15.55750 |     299.93591 |      -0.00001 |       0.00003 |       0.00003 |       0.00003 |      -0.00001 |       0.00003 |       0.00003 |       2.28669 |      -0.20087 |     118.15318 |     131.07027 |     131.00912 |      12.91708 |     -87.71329 |      -0.20072 |     180.00000 |       0.08196 |      -0.00001 |      -1.56365 |    1247.66687 |    -797.91974 |      -0.00000 |      -0.00000 |      -0.00000 |      -0.00000 |       0.00000 |       0.00000 |       0.00000 |       0.00000 | 
